uid,ctx_type
Ac1.1a (Conus achatinus) [P03833],alpha
Ac1.1b (Conus achatinus) [P02485],alpha
AnIA (Conus anemone) [P02501],alpha
AnIB (Conus anemone) [P00015],alpha
ArchIIIA (Conus archon (magistrate cone)) [P10480],alpha
ArIA (Conus arenatus) [P02748],alpha
ArIB (Conus arenatus) [P02752],alpha
AuIA (Conus aulicus) [P00404],alpha
AuIB (Conus aulicus) [P00095],alpha
AuIC (Conus aulicus) [P00407],alpha
AusIA (Conus australis) [P06679],alpha
AusIA (Conus australis) [P10407],alpha
AusIA[ribbon] (synthetic construct) [P10418],alpha
BnIA (Conus bandanus) [P02635],alpha
Bu1.1 (Conus bullatus) [P02930],alpha
BuIA (Conus bullatus) [P00026],alpha
C1.3 (Conus catus) [P09973],alpha
C4.3 (Conus catus) [P04083],alpha
CIA (Conus catus) [P08016],alpha
CIB (Conus catus) [P08017],alpha
CnIA (Conus consors) [P01558],alpha
Conorfamide deamidated-As1b (Conus austini) [P08702],alpha
Conorfamide deamidated-As2b (Conus austini) [P08703],alpha
Conorfamide-As1a (Conus austini) [P08700],alpha
Conorfamide-As2a (Conus austini) [P08701],alpha
Czon1107 (Conus zonatus (zoned cone)) [P08893],alpha
EI (Conus ermineus (Atlantic fish-hunting cone)) [P00050],alpha
EIIA (Conus ermineus (Atlantic fish-hunting cone)) [P04069],alpha
EIIB (Conus ermineus (Atlantic fish-hunting cone)) [P07538],alpha
EIVA (Conus ermineus (Atlantic fish-hunting cone)) [P01635],alpha
EIVB (Conus ermineus (Atlantic fish-hunting cone)) [P01740],alpha
EpI (Conus episcopatus) [P00405],alpha
GeXIVA[bead] (Conus generalis) [P08686],alpha
GeXIVA[globular] (Conus generalis) [P08687],alpha
GeXIVA[ribbon] (Conus generalis) [P05344],alpha
GeXXA (Conus generalis) [P06732],alpha
GI (Conus geographus (Geography cone)) [P00074],alpha
GIA (Conus geographus (Geography cone)) [P00022],alpha
GIC (Conus geographus (Geography cone)) [P00132],alpha
GID (Conus geographus (Geography cone)) [P00098],alpha
GII (Conus geographus (Geography cone)) [P00024],alpha
GVIIIB (Conus geographus (Geography cone)) [P08941],alpha
ImI (Conus imperialis) [P00010],alpha
ImII (Conus imperialis) [P02586],alpha
Lp1.1 (Conus leopardus) [P02496],alpha
Lp1.4 (Conus leopardus) [P02497],alpha
LsIA (Conus limpusi) [P06776],alpha
LsIA[ribbon] (synthetic construct) [P10430],alpha
Lt1.3 [globular] (Conus litteratus) [P07480],alpha
LtIA (Conus litteratus) [P02665],alpha
LtXIVA (Conus litteratus) [P02588],alpha
Lv1d (Conus lividus) [P06424],alpha
LvIA (Conus lividus) [P05949],alpha
LvIB (Conus lividus) [P10267],alpha
MI (Conus magus (Magus cone)) [P00023],alpha
MIC (Conus magus (Magus cone)) [P05865],alpha
MII (Conus magus (Magus cone)) [P00039],alpha
MIIIJ (Conus magus (Magus cone)) [P08892],alpha
MilIA (Conus milneedwardsi) [P09015],alpha
Mr1.1 (Conus marmoreus) [P02491],alpha
Mr1.7 (Conus marmoreus) [P04661],alpha
MrIC (Conus marmoreus) [P06003],alpha
OIVA (Conus obscurus) [P01397],alpha
OIVB (Conus obscurus) [P01688],alpha
OmIA (Conus omaria) [P00006],alpha
PeIA (Conus pergrandis) [P02608],alpha
PeIVA (Conus pergrandis) [P01689],alpha
PeIVB (Conus pergrandis) [P01687],alpha
PIA (Conus purpurascens) [P00595],alpha
PIB (Conus purpurascens) [P00038],alpha
PIC (Conus purpurascens) [P08506],alpha
PIC[O7P] (Conus purpurascens) [P08505],alpha
PIIIE (Conus purpurascens) [P01611],alpha
PIIIF (Conus purpurascens) [P01594],alpha
PIVA (Conus purpurascens) [P01449],alpha
PiXXA (Conus princeps (Prince cone)) [P08998],alpha
PlXIVA (Conus planorbis) [P01539],alpha
PnIA (Conus pennaceus) [P00051],alpha
PnIB (Conus pennaceus) [P00099],alpha
PrIIIE (Conus parius) [P02832],alpha
PrXA (Conus parius) [P02859],alpha
Pu1.2 (Conus pulicarius) [P02520],alpha
Pu14a (Conus pulicarius) [P03787],alpha
Qc1.2 (Conus quercinus) [P02511],alpha
Reg1b/Reg1c (Conus regius) [P00028],alpha
Reg1d (Conus regius) [P00029],alpha
Reg1f (Conus regius) [P00031],alpha
RegIIA (Conus regius) [P00032],alpha
RgIA (Conus regius) [P02585],alpha
"RgIA [P6O,del13] (Conus regius) [P00030]",alpha
RGIB (Conus regius) [P05941],alpha
RVIIIA (Conus radiatus) [P01574],alpha
SI (Conus striatus (Striated cone)) [P00001],alpha
SIA (Conus striatus (Striated cone)) [P00025],alpha
SII (Conus striatus (Striated cone)) [P00090],alpha
SrIA (Conus spurius) [P03752],alpha
SrIB (Conus spurius) [P03901],alpha
TiIA (Conus tinianus) [P04228],alpha
Tx1.2 (Conus textile (Cloth-of-gold cone)) [P02883],alpha
TxIA (Conus textile (Cloth-of-gold cone)) [P02881],alpha
TxIB (Conus textile (Cloth-of-gold cone)) [P05345],alpha
TxID (Conus textile (Cloth-of-gold cone)) [P06831],alpha
TxVC (Conus textile (Cloth-of-gold cone)) [P06814],alpha
Vc1.2 (Conus victoriae) [P04200],alpha
VcIA (Conus victoriae) [P02539],alpha
ViIA (Conus virgo) [P06858],alpha
VnIB  (Conus ventricosus) [P07652],alpha
VxXXA (Conus vexillum) [P01686],alpha
VxXXB (Conus vexillum) [P01685],alpha
VxXXC (Conus vexillum) [P01684],alpha
VxXXIVA (Conus vexillum) [P05526],alpha
Am2766 (Conus amadis) [P01630],delta
AVIA (Conus aurisiacus) [P01628],delta
BVIA (Conus bullatus) [P01627],delta
C6.2 (Conus catus) [P09974],delta
CnVIA (Conus consors) [P01626],delta
CVIE-2 (Conus catus) [P01625],delta
ErVIA (Conus eburneus) [P06773],delta
EVIA (Conus ermineus (Atlantic fish-hunting cone)) [P01561],delta
EVIB (Conus ermineus (Atlantic fish-hunting cone)) [P01575],delta
GmVIA (Conus gloriamaris) [P01598],delta
Mo3964 (Conus monile) [P07063],delta
MVIA (Conus magus (Magus cone)) [P01624],delta
MVIB (Conus magus (Magus cone)) [P01623],delta
MVIC (Conus magus (Magus cone)) [P01622],delta
MVID (Conus magus (Magus cone)) [P01621],delta
NgVIA (Conus nigropunctatus) [P01519],delta
PVIA (Conus purpurascens) [P02595],delta
SmVIA (Conus stercusmuscarum) [P01620],delta
SuVIA (Conus suturatus) [P06805],delta
SVIE (Conus striatus (Striated cone)) [P02710],delta
TsVIA (Conus tessulatus) [P06849],delta
TxVIA (Conus textile (Cloth-of-gold cone)) [P01552],delta
TxVIB (Conus textile (Cloth-of-gold cone)) [P01553],delta
BuIIIA (Conus bullatus) [P03623],mu
BuIIIB (Conus bullatus) [P03625],mu
CIIIA (Conus catus) [P01692],mu
CnIIIA (Conus consors) [P01693],mu
CnIIIB (Conus consors) [P01690],mu
CnIIIC (Conus consors) [P03834],mu
conotoxin-GS (Conus geographus (Geography cone)) [P01268],mu
GIIIA (Conus geographus (Geography cone)) [P01571],mu
GIIIB (Conus geographus (Geography cone)) [P01566],mu
GIIIC (Conus geographus (Geography cone)) [P01744],mu
GVIIJ (Conus geographus (Geography cone)) [P06822],mu
KIIIA (Conus kinoshitai) [P02587],mu
KIIIB (Conus kinoshitai) [P07434],mu
Lt5d (Conus litteratus) [P03322],mu
LtVIC (Conus litteratus) [P02871],mu
MfVIA (Conus magnificus) [P05840],mu
MIIIA (Conus magus (Magus cone)) [P01691],mu
MrVIA (Conus marmoreus) [P01554],mu
MrVIB (Conus marmoreus) [P01556],mu
PIIIA (Conus purpurascens) [P02228],mu
PnIVA (Conus pennaceus) [P01560],mu
PnIVB (Conus pennaceus) [P01559],mu
SIIIA (Conus striatus (Striated cone)) [P02707],mu
SIIIB (Conus striatus (Striated cone)) [P01615],mu
SmIIIA (Conus stercusmuscarum) [P01662],mu
SxIIIA (Conus striolatus) [P03584],mu
SxIIIB (Conus striolatus) [P03585],mu
SxIIIC (Conus striolatus) [P09774],mu
TIIIA (Conus tulipa (tulip cone)) [P01616],mu
TsIIIA (Conus tessulatus) [P07525],mu
Bru9a (Conus brunneus) [P07497],omega
Cal16.2 (Conus californicus) [P04231],omega
CnVIIA (Conus consors) [P01632],omega
Contryphan-Am (Conus amadis) [P01270],omega
contryphan-M (Conus marmoreus) [P02570],omega
CVIA (Conus catus) [P02548],omega
CVIB (Conus catus) [P01726],omega
CVIC (Conus catus) [P01725],omega
CVID (Conus catus) [P02549],omega
CVIE (Conus catus) [P04243],omega
CVIF (Conus catus) [P03340],omega
Eu1.6 (Conus eburneus) [P04644],omega
FVIA (Conus fulmen) [P04241],omega
GVIA (Conus geographus (Geography cone)) [P01546],omega
GVIIA (Conus geographus (Geography cone)) [P01743],omega
GVIIB (Conus geographus (Geography cone)) [P02581],omega
MoVIA (Conus moncuri) [P07647],omega
MoVIB (Conus moncuri) [P07646],omega
MVIIA (Conus magus (Magus cone)) [P01386],omega
MVIIB (Conus magus (Magus cone)) [P01638],omega
MVIIC (Conus magus (Magus cone)) [P01484],omega
MVIID (Conus magus (Magus cone)) [P02675],omega
PnVIA (Conus pennaceus) [P01742],omega
PnVIB (Conus pennaceus) [P01741],omega
RsXXVIA (Conus regularis) [P05355],omega
RVIA (Conus radiatus) [P01728],omega
SO3 (Conus striatus (Striated cone)) [P01540],omega
SVIA (Conus striatus (Striated cone)) [P01794],omega
SVIA mutant 1 (Conus striatus (Striated cone)) [P03275],omega
SVIB (Conus striatus (Striated cone)) [P01793],omega
TVIA (Conus tulipa (tulip cone)) [P01727],omega
TxVII (Conus textile (Cloth-of-gold cone)) [P01603],omega
